,Home Team,Away Team,Home Moneyline,Away Moneyline,Home Spread,Home Spread Odds,Away Spread,Away Spread Odds,Over/Under,Over Odds,Under Odds
0,Chiefs,Ravens,-155.0,130.0,-3.0,108.0,3.0,112.0,47.0,110.0,110.0
1,Eagles,Packers,-125.0,105.0,-1.5,112.0,1.5,108.0,48.5,110.0,110.0
2,Bears,Titans,-218.0,180.0,-4.5,110.0,4.5,110.0,43.5,110.0,110.0
3,Bengals,Patriots,-410.0,320.0,-9.0,110.0,9.0,110.0,43.0,110.0,110.0
4,Bills,Cardinals,-360.0,285.0,-7.0,110.0,7.0,110.0,48.0,110.0,110.0
5,Dolphins,Jaguars,-180.0,150.0,-3.5,110.0,3.5,110.0,49.0,110.0,110.0
6,Giants,Vikings,-112.0,-108.0,-1.0,105.0,1.0,115.0,41.5,110.0,110.0
7,Falcons,Steelers,-142.0,120.0,-2.5,110.0,2.5,110.0,43.0,108.0,112.0
8,Colts,Texans,102.0,-122.0,1.5,110.0,-1.5,110.0,48.0,110.0,110.0
9,Saints,Panthers,-205.0,170.0,-5.0,108.0,5.0,112.0,40.5,110.0,110.0
10,Seahawks,Broncos,-218.0,180.0,-4.5,110.0,4.5,110.0,42.5,110.0,110.0
11,Chargers,Raiders,-170.0,142.0,-3.0,120.0,3.0,100.0,43.5,110.0,110.0
12,Buccaneers,Commanders,-185.0,154.0,-3.5,110.0,3.5,110.0,41.5,110.0,110.0
13,Browns,Cowboys,-108.0,-112.0,-1.0,102.0,1.0,118.0,44.0,108.0,112.0
14,Lions,Rams,-192.0,160.0,-3.5,108.0,3.5,112.0,51.0,110.0,110.0
15,49ers,Jets,-250.0,205.0,-5.5,115.0,5.5,105.0,45.5,110.0,110.0
16,Dolphins,Bills,-115.0,-105.0,-1.0,110.0,1.0,110.0,51.0,110.0,110.0
17,Ravens,Raiders,-360.0,285.0,-7.5,110.0,7.5,110.0,44.5,110.0,110.0
18,Cowboys,Saints,-250.0,205.0,-6.0,110.0,6.0,110.0,44.5,110.0,110.0
19,Packers,Colts,-192.0,160.0,-4.0,108.0,4.0,112.0,47.0,108.0,112.0
20,Commanders,Giants,-135.0,114.0,-3.0,100.0,3.0,120.0,42.5,110.0,110.0
21,Titans,Jets,154.0,-185.0,4.0,110.0,-4.0,110.0,43.5,110.0,110.0
22,Vikings,49ers,210.0,-258.0,6.0,110.0,-6.0,110.0,46.5,110.0,110.0
23,Patriots,Seahawks,124.0,-148.0,2.5,100.0,-2.5,120.0,42.5,110.0,110.0
24,Jaguars,Browns,-115.0,-105.0,-1.0,110.0,1.0,110.0,45.0,110.0,110.0
25,Lions,Buccaneers,-265.0,215.0,-6.0,115.0,6.0,105.0,48.5,110.0,110.0
26,Panthers,Chargers,142.0,-170.0,3.0,100.0,-3.0,120.0,41.5,110.0,110.0
27,Cardinals,Rams,110.0,-130.0,2.5,110.0,-2.5,110.0,48.5,108.0,112.0
28,Broncos,Steelers,130.0,-155.0,3.0,108.0,-3.0,112.0,41.5,110.0,110.0
29,Chiefs,Bengals,-192.0,160.0,-4.0,110.0,4.0,110.0,49.0,110.0,110.0
30,Texans,Bears,-180.0,150.0,-3.5,110.0,3.5,110.0,47.0,110.0,110.0
31,Eagles,Falcons,-166.0,140.0,-3.5,105.0,3.5,115.0,48.5,110.0,110.0
32,Jets,Patriots,-345.0,275.0,-7.5,110.0,7.5,110.0,42.0,110.0,110.0
33,Colts,Bears,-130.0,110.0,-2.0,110.0,2.0,110.0,47.0,108.0,112.0
34,Steelers,Chargers,-125.0,105.0,-2.0,110.0,2.0,110.0,42.5,108.0,112.0
35,Buccaneers,Broncos,-175.0,145.0,-3.5,110.0,3.5,110.0,43.0,110.0,110.0
36,Browns,Giants,-265.0,215.0,-6.5,108.0,6.5,112.0,42.5,108.0,112.0
37,Titans,Packers,154.0,-185.0,3.5,110.0,-3.5,110.0,44.0,110.0,110.0
38,Vikings,Texans,164.0,-198.0,3.5,100.0,-3.5,120.0,46.5,110.0,110.0
39,Saints,Eagles,130.0,-155.0,3.0,110.0,-3.0,110.0,45.0,110.0,110.0
40,Seahawks,Dolphins,110.0,-130.0,2.0,110.0,-2.0,110.0,49.0,110.0,110.0
41,Raiders,Panthers,-185.0,154.0,-4.0,110.0,4.0,110.0,42.0,110.0,110.0
42,Cowboys,Ravens,-112.0,-108.0,-1.0,105.0,1.0,115.0,48.0,110.0,110.0
43,Rams,49ers,136.0,-162.0,3.0,110.0,-3.0,110.0,48.0,108.0,112.0
44,Cardinals,Lions,160.0,-192.0,4.0,110.0,-4.0,110.0,50.0,108.0,112.0
45,Falcons,Chiefs,130.0,-155.0,3.0,110.0,-3.0,110.0,49.0,110.0,110.0
46,Bills,Jaguars,-225.0,185.0,-5.0,110.0,5.0,110.0,49.0,110.0,110.0
47,Bengals,Commanders,-325.0,260.0,-7.0,115.0,7.0,105.0,48.0,110.0,110.0
48,Giants,Cowboys,164.0,-198.0,4.0,110.0,-4.0,110.0,44.5,110.0,110.0
49,Bears,Rams,-122.0,102.0,-1.5,110.0,1.5,110.0,47.0,110.0,110.0
50,Falcons,Saints,-180.0,150.0,-3.5,110.0,3.5,110.0,44.5,108.0,112.0
51,Texans,Jaguars,-175.0,145.0,-3.5,108.0,3.5,112.0,47.5,110.0,110.0
52,Colts,Steelers,-122.0,102.0,-1.5,110.0,1.5,110.0,44.5,110.0,110.0
53,Buccaneers,Eagles,136.0,-162.0,3.0,110.0,-3.0,110.0,47.0,110.0,110.0
54,Packers,Vikings,-218.0,180.0,-5.0,110.0,5.0,110.0,45.0,108.0,112.0
55,Jets,Broncos,-340.0,270.0,-7.5,110.0,7.5,110.0,42.5,110.0,110.0
56,Panthers,Bengals,220.0,-270.0,6.5,110.0,-6.5,110.0,46.0,108.0,112.0
57,Cardinals,Commanders,-130.0,110.0,-2.5,115.0,2.5,105.0,45.0,108.0,112.0
58,49ers,Patriots,-600.0,440.0,-11.5,110.0,11.5,110.0,45.0,110.0,110.0
59,Raiders,Browns,120.0,-142.0,2.5,105.0,-2.5,115.0,43.5,108.0,112.0
60,Chargers,Chiefs,145.0,-175.0,3.0,100.0,-3.0,120.0,46.0,110.0,110.0
61,Ravens,Bills,-155.0,130.0,-3.0,110.0,3.0,110.0,47.5,110.0,110.0
62,Dolphins,Titans,-270.0,220.0,-6.5,110.0,6.5,110.0,46.0,110.0,110.0
63,Lions,Seahawks,-245.0,200.0,-6.0,105.0,6.0,115.0,49.0,110.0,110.0
64,Falcons,Buccaneers,-162.0,136.0,-3.0,115.0,3.0,105.0,44.5,110.0,110.0
65,Vikings,Jets,154.0,-185.0,4.0,112.0,-4.0,108.0,44.5,110.0,110.0
66,Texans,Bills,-125.0,105.0,-1.5,110.0,1.5,110.0,48.0,110.0,110.0
67,Bengals,Ravens,-120.0,100.0,-1.5,110.0,1.5,110.0,46.5,110.0,110.0
68,Commanders,Browns,130.0,-155.0,3.0,105.0,-3.0,115.0,43.5,108.0,112.0
69,Bears,Panthers,-218.0,180.0,-5.5,108.0,5.5,112.0,42.0,108.0,112.0
70,Jaguars,Colts,-135.0,114.0,-2.5,110.0,2.5,110.0,47.0,108.0,112.0
71,Patriots,Dolphins,180.0,-218.0,4.5,110.0,-4.5,110.0,45.0,110.0,110.0
72,49ers,Cardinals,-425.0,330.0,-9.5,110.0,9.5,110.0,47.0,110.0,110.0
73,Broncos,Raiders,-112.0,-108.0,-1.0,105.0,1.0,115.0,41.0,110.0,110.0
74,Seahawks,Giants,-175.0,145.0,-3.5,110.0,3.5,110.0,43.0,108.0,112.0
75,Rams,Packers,-130.0,110.0,-1.5,112.0,1.5,108.0,48.5,108.0,112.0
76,Steelers,Cowboys,105.0,-125.0,1.5,108.0,-1.5,112.0,43.0,110.0,110.0
77,Chiefs,Saints,-375.0,295.0,-8.0,110.0,8.0,110.0,44.5,110.0,110.0
78,Seahawks,49ers,180.0,-218.0,5.0,110.0,-5.0,110.0,46.5,110.0,110.0
79,Bears,Jaguars,-108.0,-112.0,1.0,115.0,-1.0,105.0,47.5,110.0,110.0
80,Packers,Cardinals,-218.0,180.0,-5.0,110.0,5.0,110.0,46.5,108.0,112.0
81,Patriots,Texans,170.0,-205.0,4.5,110.0,-4.5,110.0,44.0,110.0,110.0
82,Saints,Buccaneers,-122.0,102.0,-1.5,110.0,1.5,110.0,43.0,110.0,110.0
83,Ravens,Commanders,-375.0,295.0,-8.5,110.0,8.5,110.0,46.5,110.0,110.0
84,Titans,Colts,105.0,-125.0,1.5,108.0,-1.5,112.0,44.5,108.0,112.0
85,Eagles,Browns,-148.0,124.0,-3.0,108.0,3.0,112.0,45.5,108.0,112.0
86,Raiders,Steelers,-105.0,-115.0,1.0,112.0,-1.0,108.0,42.0,110.0,110.0
87,Broncos,Chargers,124.0,-148.0,2.5,100.0,-2.5,120.0,43.0,110.0,110.0
88,Panthers,Falcons,154.0,-185.0,3.5,108.0,-3.5,112.0,44.0,108.0,112.0
89,Cowboys,Lions,-118.0,-102.0,-1.0,110.0,1.0,110.0,48.5,110.0,110.0
90,Giants,Bengals,170.0,-205.0,4.5,110.0,-4.5,110.0,45.0,108.0,112.0
91,Jets,Bills,-122.0,102.0,-1.5,110.0,1.5,110.0,47.5,110.0,110.0
92,Saints,Broncos,-180.0,150.0,-3.5,110.0,3.5,110.0,42.5,110.0,110.0
93,Jaguars,Patriots,-290.0,235.0,-6.5,115.0,6.5,105.0,42.5,110.0,110.0
94,Giants,Eagles,170.0,-205.0,4.5,110.0,-4.5,110.0,44.0,110.0,110.0
95,Browns,Bengals,-108.0,-112.0,1.0,115.0,-1.0,105.0,46.5,110.0,110.0
96,Packers,Texans,-130.0,110.0,-2.5,108.0,2.5,112.0,48.5,110.0,110.0
97,Colts,Dolphins,-105.0,-115.0,1.0,110.0,-1.0,110.0,49.0,110.0,110.0
98,Bills,Titans,-340.0,270.0,-7.0,120.0,7.0,100.0,47.5,112.0,108.0
99,Vikings,Lions,145.0,-175.0,3.0,100.0,-3.0,120.0,48.0,108.0,112.0
100,Falcons,Seahawks,-175.0,145.0,-3.5,105.0,3.5,115.0,48.0,110.0,110.0
101,Rams,Raiders,-218.0,180.0,-4.5,110.0,4.5,110.0,46.0,110.0,110.0
102,Commanders,Panthers,-155.0,130.0,-3.0,110.0,3.0,110.0,42.0,110.0,110.0
103,49ers,Chiefs,-120.0,100.0,-1.0,110.0,1.0,110.0,48.0,110.0,110.0
104,Steelers,Jets,-105.0,-115.0,1.0,110.0,-1.0,110.0,43.0,110.0,110.0
105,Buccaneers,Ravens,185.0,-225.0,5.0,108.0,-5.0,112.0,46.0,110.0,110.0
106,Cardinals,Chargers,-118.0,-102.0,-1.0,110.0,1.0,110.0,45.0,110.0,110.0
107,Rams,Vikings,-175.0,145.0,-3.5,108.0,3.5,112.0,45.5,108.0,112.0
108,Patriots,Jets,180.0,-218.0,4.5,110.0,-4.5,110.0,41.5,110.0,110.0
109,Jaguars,Packers,-102.0,-118.0,1.0,110.0,-1.0,110.0,46.0,110.0,110.0
110,Browns,Ravens,-105.0,-115.0,1.0,110.0,-1.0,110.0,45.5,110.0,110.0
111,Texans,Colts,-198.0,164.0,-4.0,110.0,4.0,110.0,48.0,108.0,112.0
112,Dolphins,Cardinals,-250.0,205.0,-6.0,110.0,6.0,110.0,48.5,110.0,110.0
113,Lions,Titans,-375.0,295.0,-7.5,110.0,7.5,110.0,47.5,110.0,110.0
114,Buccaneers,Falcons,-115.0,-105.0,-1.0,110.0,1.0,110.0,44.0,110.0,110.0
115,Commanders,Bears,110.0,-130.0,2.0,108.0,-2.0,112.0,44.5,110.0,110.0
116,Chargers,Saints,-155.0,130.0,-3.0,110.0,3.0,110.0,44.0,110.0,110.0
117,Seahawks,Bills,124.0,-148.0,3.0,115.0,-3.0,105.0,46.5,110.0,110.0
118,Broncos,Panthers,-135.0,114.0,-2.5,110.0,2.5,110.0,42.0,110.0,110.0
119,Bengals,Eagles,-155.0,130.0,-3.0,108.0,3.0,112.0,47.5,110.0,110.0
120,Raiders,Chiefs,190.0,-230.0,5.5,110.0,-5.5,110.0,47.0,110.0,110.0
121,49ers,Cowboys,-225.0,185.0,-5.5,110.0,5.5,110.0,47.5,110.0,110.0
122,Steelers,Giants,-185.0,154.0,-4.0,110.0,4.0,110.0,42.5,110.0,110.0
123,Jets,Texans,-142.0,120.0,-3.0,100.0,3.0,120.0,45.0,110.0,110.0
124,Titans,Patriots,-148.0,124.0,-2.5,120.0,2.5,100.0,41.0,110.0,110.0
125,Bengals,Raiders,-310.0,250.0,-7.0,112.0,7.0,108.0,45.0,108.0,112.0
126,Giants,Commanders,-125.0,105.0,-1.5,110.0,1.5,110.0,42.0,110.0,110.0
127,Falcons,Cowboys,-105.0,-115.0,1.0,110.0,-1.0,110.0,48.0,110.0,110.0
128,Browns,Chargers,-170.0,142.0,-3.0,120.0,3.0,100.0,43.5,110.0,110.0
129,Ravens,Broncos,-500.0,380.0,-10.5,110.0,10.5,110.0,43.0,110.0,110.0
130,Bills,Dolphins,-155.0,130.0,-3.0,110.0,3.0,110.0,51.0,110.0,110.0
131,Vikings,Colts,-110.0,-110.0,-1.0,105.0,1.0,115.0,46.5,110.0,110.0
132,Cardinals,Bears,102.0,-122.0,1.5,110.0,-1.5,110.0,46.5,110.0,110.0
133,Packers,Lions,-125.0,105.0,-1.5,110.0,1.5,110.0,49.0,110.0,110.0
134,Seahawks,Rams,102.0,-122.0,1.5,110.0,-1.5,110.0,46.5,108.0,112.0
135,Eagles,Jaguars,-185.0,154.0,-3.5,105.0,3.5,115.0,47.0,108.0,112.0
136,Chiefs,Buccaneers,-355.0,280.0,-7.0,120.0,7.0,100.0,47.0,110.0,110.0
137,Ravens,Bengals,-155.0,130.0,-3.0,110.0,3.0,110.0,46.0,110.0,110.0
138,Panthers,Giants,-102.0,-118.0,1.0,110.0,-1.0,110.0,42.5,108.0,112.0
139,Bears,Patriots,-225.0,185.0,-5.5,110.0,5.5,110.0,43.0,110.0,110.0
140,Saints,Falcons,-102.0,-118.0,1.0,110.0,-1.0,110.0,44.5,110.0,110.0
141,Colts,Bills,105.0,-125.0,2.0,110.0,-2.0,110.0,46.5,110.0,110.0
142,Commanders,Steelers,102.0,-122.0,1.5,110.0,-1.5,110.0,43.5,108.0,112.0
143,Buccaneers,49ers,185.0,-225.0,5.0,108.0,-5.0,112.0,46.5,110.0,110.0
144,Jaguars,Vikings,-170.0,142.0,-3.0,120.0,3.0,100.0,44.5,108.0,112.0
145,Chiefs,Broncos,-410.0,320.0,-9.0,110.0,9.0,110.0,46.0,110.0,110.0
146,Chargers,Titans,-192.0,160.0,-4.0,110.0,4.0,110.0,43.5,110.0,110.0
147,Cardinals,Jets,130.0,-155.0,3.0,110.0,-3.0,110.0,46.5,110.0,110.0
148,Cowboys,Eagles,-125.0,105.0,-2.0,110.0,2.0,110.0,48.0,110.0,110.0
149,Texans,Lions,-118.0,-102.0,-1.0,110.0,1.0,110.0,50.0,110.0,110.0
150,Rams,Dolphins,-115.0,-105.0,-1.0,110.0,1.0,110.0,47.5,110.0,110.0
151,Eagles,Commanders,-340.0,270.0,-7.0,115.0,7.0,105.0,45.5,110.0,110.0
152,Lions,Jaguars,-192.0,160.0,-4.0,110.0,4.0,110.0,50.0,110.0,110.0
153,Saints,Browns,110.0,-130.0,2.0,110.0,-2.0,110.0,42.0,110.0,110.0
154,Bears,Packers,-108.0,-112.0,-1.0,102.0,1.0,118.0,44.5,108.0,112.0
155,Steelers,Ravens,130.0,-155.0,3.0,115.0,-3.0,105.0,43.0,110.0,110.0
156,Patriots,Rams,164.0,-198.0,4.0,110.0,-4.0,110.0,43.5,110.0,110.0
157,Dolphins,Raiders,-285.0,230.0,-6.5,110.0,6.5,110.0,47.0,110.0,110.0
158,Titans,Vikings,-105.0,-115.0,1.0,112.0,-1.0,108.0,43.5,110.0,110.0
159,Broncos,Falcons,142.0,-170.0,3.0,100.0,-3.0,120.0,44.5,110.0,110.0
160,49ers,Seahawks,-410.0,320.0,-9.0,110.0,9.0,110.0,46.5,110.0,110.0
161,Chargers,Bengals,110.0,-130.0,2.0,108.0,-2.0,112.0,45.0,110.0,110.0
162,Bills,Chiefs,-110.0,-110.0,-1.0,102.0,1.0,118.0,48.5,110.0,110.0
163,Jets,Colts,-192.0,160.0,-4.0,110.0,4.0,110.0,46.0,110.0,110.0
164,Cowboys,Texans,-155.0,130.0,-3.0,110.0,3.0,110.0,49.0,108.0,112.0
165,Browns,Steelers,-142.0,120.0,-3.0,100.0,3.0,120.0,43.5,108.0,112.0
166,Giants,Buccaneers,-105.0,-115.0,1.0,110.0,-1.0,110.0,44.0,112.0,108.0
167,Commanders,Cowboys,145.0,-175.0,3.5,110.0,-3.5,110.0,46.0,110.0,110.0
168,Dolphins,Patriots,-360.0,285.0,-7.5,110.0,7.5,110.0,45.0,110.0,110.0
169,Texans,Titans,-250.0,205.0,-6.0,110.0,6.0,110.0,46.5,108.0,112.0
170,Panthers,Chiefs,275.0,-345.0,7.0,100.0,-7.0,120.0,45.5,110.0,110.0
171,Bears,Vikings,-166.0,140.0,-3.0,120.0,3.0,100.0,45.0,110.0,110.0
172,Colts,Lions,114.0,-135.0,2.5,108.0,-2.5,112.0,48.5,110.0,110.0
173,Raiders,Broncos,-155.0,130.0,-3.0,110.0,3.0,110.0,42.0,110.0,110.0
174,Seahawks,Cardinals,-155.0,130.0,-3.0,110.0,3.0,110.0,46.0,110.0,110.0
175,Packers,49ers,110.0,-130.0,2.5,110.0,-2.5,110.0,47.0,110.0,110.0
176,Rams,Eagles,-112.0,-108.0,-0.5,110.0,0.5,110.0,47.0,110.0,110.0
177,Chargers,Ravens,130.0,-155.0,3.0,112.0,-3.0,108.0,47.0,110.0,110.0
178,Lions,Bears,-192.0,160.0,-4.0,110.0,4.0,110.0,50.0,108.0,112.0
179,Cowboys,Giants,-375.0,295.0,-8.0,110.0,8.0,110.0,45.5,110.0,110.0
180,Packers,Dolphins,-155.0,130.0,-3.0,110.0,3.0,110.0,48.5,110.0,110.0
181,Chiefs,Raiders,-355.0,280.0,-7.5,110.0,7.5,110.0,45.5,110.0,110.0
182,Bengals,Steelers,-218.0,180.0,-5.0,110.0,5.0,110.0,44.5,108.0,112.0
183,Commanders,Titans,-122.0,102.0,-1.5,110.0,1.5,110.0,46.5,110.0,110.0
184,Patriots,Colts,130.0,-155.0,2.5,100.0,-2.5,120.0,44.0,110.0,110.0
185,Jets,Seahawks,-198.0,164.0,-4.5,110.0,4.5,110.0,46.5,110.0,110.0
186,Vikings,Cardinals,-125.0,105.0,-2.0,110.0,2.0,110.0,45.5,108.0,112.0
187,Jaguars,Texans,-112.0,-108.0,-1.0,105.0,1.0,115.0,47.0,110.0,110.0
188,Falcons,Chargers,-135.0,114.0,-2.5,110.0,2.5,110.0,47.5,110.0,110.0
189,Saints,Rams,105.0,-125.0,1.5,110.0,-1.5,110.0,46.5,110.0,110.0
190,Panthers,Buccaneers,105.0,-125.0,2.0,110.0,-2.0,110.0,43.0,108.0,112.0
191,Ravens,Eagles,-192.0,160.0,-4.0,110.0,4.0,110.0,46.5,110.0,110.0
192,Bills,49ers,105.0,-125.0,2.0,110.0,-2.0,110.0,47.0,110.0,110.0
193,Broncos,Browns,150.0,-180.0,3.5,110.0,-3.5,110.0,43.0,110.0,110.0
194,Lions,Packers,-155.0,130.0,-2.5,125.0,2.5,105.0,48.0,110.0,110.0
195,Giants,Saints,-110.0,-110.0,1.0,118.0,-1.0,102.0,41.0,110.0,110.0
196,Dolphins,Jets,-130.0,110.0,-2.0,110.0,2.0,110.0,47.5,110.0,110.0
197,Steelers,Browns,-110.0,-110.0,-1.0,102.0,1.0,118.0,43.5,110.0,110.0
198,Eagles,Panthers,-355.0,280.0,-7.5,110.0,7.5,110.0,45.0,110.0,110.0
199,Titans,Jaguars,102.0,-122.0,1.5,110.0,-1.5,110.0,45.0,110.0,110.0
200,Vikings,Falcons,-102.0,-118.0,1.0,108.0,-1.0,112.0,45.0,108.0,112.0
201,Buccaneers,Raiders,-148.0,124.0,-2.5,120.0,2.5,100.0,44.0,110.0,110.0
202,Cardinals,Seahawks,-115.0,-105.0,-1.0,108.0,1.0,112.0,46.0,110.0,110.0
203,Rams,Bills,-105.0,-115.0,1.0,110.0,-1.0,110.0,48.0,110.0,110.0
204,49ers,Bears,-230.0,190.0,-5.5,110.0,5.5,110.0,47.5,110.0,110.0
205,Chiefs,Chargers,-265.0,215.0,-6.5,110.0,6.5,110.0,44.5,110.0,110.0
206,Cowboys,Bengals,-118.0,-102.0,-1.0,110.0,1.0,110.0,48.5,110.0,110.0
207,49ers,Rams,-270.0,220.0,-6.5,108.0,6.5,112.0,47.0,108.0,112.0
208,Texans,Dolphins,-142.0,120.0,-2.5,110.0,2.5,110.0,49.5,110.0,110.0
209,Panthers,Cowboys,225.0,-278.0,6.5,110.0,-6.5,110.0,44.0,110.0,110.0
210,Giants,Ravens,225.0,-278.0,6.5,108.0,-6.5,112.0,44.0,110.0,110.0
211,Titans,Bengals,170.0,-205.0,4.5,110.0,-4.5,110.0,46.0,110.0,110.0
212,Browns,Chiefs,120.0,-142.0,3.0,120.0,-3.0,100.0,46.5,108.0,112.0
213,Jaguars,Jets,-105.0,-115.0,1.0,110.0,-1.0,110.0,46.0,110.0,110.0
214,Saints,Commanders,-148.0,124.0,-3.0,110.0,3.0,110.0,42.0,108.0,112.0
215,Chargers,Buccaneers,-148.0,124.0,-3.0,105.0,3.0,115.0,42.5,110.0,110.0
216,Cardinals,Patriots,-180.0,150.0,-3.5,110.0,3.5,110.0,44.0,110.0,110.0
217,Eagles,Steelers,-205.0,170.0,-4.5,110.0,4.5,110.0,45.0,110.0,110.0
218,Broncos,Colts,120.0,-142.0,2.5,110.0,-2.5,110.0,44.5,108.0,112.0
219,Lions,Bills,-135.0,114.0,-2.0,110.0,2.0,110.0,50.5,110.0,110.0
220,Seahawks,Packers,-102.0,-118.0,1.0,110.0,-1.0,110.0,47.0,108.0,112.0
221,Vikings,Bears,-110.0,-110.0,1.0,115.0,-1.0,105.0,46.0,110.0,110.0
222,Raiders,Falcons,-102.0,-118.0,1.0,110.0,-1.0,110.0,45.5,108.0,112.0
223,Bengals,Browns,-180.0,150.0,-3.5,108.0,3.5,112.0,45.5,110.0,110.0
224,Chiefs,Texans,-205.0,170.0,-4.5,108.0,4.5,112.0,47.0,110.0,110.0
225,Ravens,Steelers,-238.0,195.0,-6.0,105.0,6.0,115.0,42.5,110.0,110.0
226,Falcons,Giants,-198.0,164.0,-4.5,110.0,4.5,110.0,44.5,108.0,112.0
227,Commanders,Eagles,145.0,-175.0,3.0,100.0,-3.0,120.0,45.0,110.0,110.0
228,Panthers,Cardinals,-102.0,-118.0,1.0,110.0,-1.0,110.0,45.5,110.0,110.0
229,Bears,Lions,-108.0,-112.0,1.0,115.0,-1.0,105.0,47.0,108.0,112.0
230,Colts,Titans,-192.0,160.0,-4.0,110.0,4.0,110.0,45.5,110.0,110.0
231,Jets,Rams,-155.0,130.0,-3.0,110.0,3.0,110.0,47.5,110.0,110.0
232,Bills,Patriots,-395.0,310.0,-8.5,110.0,8.5,110.0,44.5,110.0,110.0
233,Chargers,Broncos,-185.0,154.0,-4.0,110.0,4.0,110.0,43.0,110.0,110.0
234,Seahawks,Vikings,-125.0,105.0,-2.0,110.0,2.0,110.0,45.5,108.0,112.0
235,Dolphins,49ers,-105.0,-115.0,1.0,110.0,-1.0,110.0,49.0,110.0,110.0
236,Raiders,Jaguars,-105.0,-115.0,1.0,115.0,-1.0,105.0,45.5,108.0,112.0
237,Cowboys,Buccaneers,-205.0,170.0,-4.5,110.0,4.5,110.0,46.5,110.0,110.0
238,Packers,Saints,-218.0,180.0,-5.0,110.0,5.0,110.0,45.0,110.0,110.0
239,Steelers,Chiefs,185.0,-225.0,4.0,105.0,-4.0,115.0,42.5,110.0,110.0
240,Texans,Ravens,105.0,-125.0,1.5,110.0,-1.5,110.0,46.5,108.0,112.0
241,Bears,Seahawks,-175.0,145.0,-3.5,108.0,3.5,112.0,45.5,108.0,112.0
242,Saints,Raiders,-155.0,130.0,-2.5,120.0,2.5,100.0,43.0,110.0,110.0
243,Patriots,Chargers,120.0,-142.0,2.5,100.0,-2.5,120.0,41.0,110.0,110.0
244,Vikings,Packers,110.0,-130.0,2.0,108.0,-2.0,112.0,45.5,108.0,112.0
245,Commanders,Falcons,114.0,-135.0,2.5,105.0,-2.5,115.0,46.0,110.0,110.0
246,Bengals,Broncos,-375.0,295.0,-8.0,110.0,8.0,110.0,45.5,110.0,110.0
247,Jaguars,Titans,-192.0,160.0,-4.0,108.0,4.0,112.0,46.0,110.0,110.0
248,Buccaneers,Panthers,-205.0,170.0,-5.0,108.0,5.0,112.0,43.0,108.0,112.0
249,Bills,Jets,-142.0,120.0,-2.5,115.0,2.5,105.0,45.5,110.0,110.0
250,Giants,Colts,110.0,-130.0,2.0,108.0,-2.0,112.0,43.5,110.0,110.0
251,Rams,Cardinals,-258.0,210.0,-6.0,108.0,6.0,112.0,48.0,110.0,110.0
252,Eagles,Cowboys,-135.0,114.0,-2.0,110.0,2.0,110.0,47.0,110.0,110.0
253,Browns,Dolphins,-130.0,110.0,-2.0,110.0,2.0,110.0,44.5,110.0,110.0
254,49ers,Lions,-205.0,170.0,-4.5,110.0,4.5,110.0,49.5,108.0,112.0
255,Lions,Vikings,-245.0,200.0,-5.5,115.0,5.5,105.0,47.0,110.0,110.0
256,Packers,Bears,-170.0,142.0,-3.0,120.0,3.0,100.0,46.0,110.0,110.0
257,Titans,Texans,130.0,-155.0,3.0,110.0,-3.0,110.0,45.0,110.0,110.0
258,Falcons,Panthers,-278.0,225.0,-6.5,110.0,6.5,110.0,45.5,110.0,110.0
259,Eagles,Giants,-205.0,170.0,-5.0,110.0,5.0,110.0,43.0,110.0,110.0
260,Patriots,Bills,150.0,-180.0,3.5,110.0,-3.5,110.0,44.5,110.0,110.0
261,Cowboys,Commanders,-230.0,190.0,-5.5,110.0,5.5,110.0,46.5,110.0,110.0
262,Ravens,Browns,-205.0,170.0,-4.5,110.0,4.5,110.0,44.5,110.0,110.0
263,Colts,Jaguars,-130.0,110.0,-2.0,110.0,2.0,110.0,46.5,108.0,112.0
264,Jets,Dolphins,-155.0,130.0,-3.0,110.0,3.0,110.0,45.0,110.0,110.0
265,Steelers,Bengals,-102.0,-118.0,1.0,110.0,-1.0,110.0,43.5,108.0,112.0
266,Buccaneers,Saints,-135.0,114.0,-2.5,110.0,2.5,110.0,43.0,108.0,112.0
267,Cardinals,49ers,164.0,-198.0,4.0,108.0,-4.0,112.0,43.0,110.0,110.0
268,Raiders,Chargers,-105.0,-115.0,1.0,112.0,-1.0,108.0,43.5,110.0,110.0
269,Broncos,Chiefs,160.0,-192.0,4.0,110.0,-4.0,110.0,42.5,110.0,110.0
270,Rams,Seahawks,-225.0,185.0,-5.5,108.0,5.5,112.0,47.0,110.0,110.0
